,bedrooms,bathrooms,guests,revenue,openness,hot_tub,pool,city_encoded,host_type Encoded,ID Encoded,Cluster
49467,4,2.5,10,4901.0,31,0.0,0.0,1,1,3884,4
49513,4,2.0,10,4899.0,31,0.0,0.0,1,1,3374,4
49532,4,3.0,10,4896.0,30,0.0,0.0,1,1,4364,4
49541,4,3.0,12,4895.0,30,0.0,0.0,1,1,3515,4
49544,4,3.0,10,4895.0,30,0.0,0.0,1,1,5105,4
49566,4,2.0,9,4891.0,29,0.0,0.0,1,1,2204,4
49613,4,2.0,10,4886.0,30,0.0,0.0,1,1,3103,4
49652,4,2.0,9,4880.0,31,0.0,0.0,1,1,1900,4
49677,4,3.0,12,4877.0,31,0.0,0.0,1,1,4082,4
49681,4,2.0,9,4876.0,31,0.0,0.0,1,1,1900,4
49726,4,3.0,10,4873.0,30,0.0,0.0,1,1,3529,4
49745,4,2.5,12,4870.0,31,0.0,0.0,1,1,3246,4
49914,4,2.0,8,4849.0,28,0.0,0.0,1,1,3106,4
49917,4,2.0,9,4848.0,30,0.0,0.0,1,1,2941,4
49964,4,2.0,7,4840.0,31,0.0,0.0,1,1,2897,4
50076,4,3.0,9,4824.0,31,0.0,0.0,1,1,4183,4
50135,4,2.0,8,4815.0,31,0.0,0.0,1,1,4436,4
50216,4,3.0,10,4804.0,30,0.0,0.0,1,1,2990,4
50274,4,2.0,7,4800.0,30,0.0,0.0,1,1,2897,4
50275,4,2.0,7,4800.0,31,0.0,0.0,1,1,2897,4
50316,4,2.5,12,4798.0,31,0.0,0.0,1,1,1650,4
50367,4,2.0,8,4791.0,31,0.0,0.0,1,1,3106,4
50383,4,3.0,11,4790.0,30,0.0,0.0,1,1,4150,4
50390,4,2.0,10,4789.0,31,0.0,0.0,1,1,3374,4
50403,4,2.0,8,4787.0,31,0.0,0.0,1,1,3106,4
50435,4,2.0,8,4784.0,29,0.0,0.0,1,1,2934,4
50484,4,3.0,10,4780.0,30,0.0,0.0,1,1,2990,4
50541,4,3.0,11,4773.0,31,0.0,0.0,1,1,4198,4
50560,4,2.0,7,4770.0,30,0.0,0.0,1,1,2897,4
50594,4,3.0,10,4765.0,31,0.0,0.0,1,1,2083,4
50615,4,2.0,8,4762.0,30,0.0,0.0,1,1,2053,4
50654,4,2.0,9,4758.0,31,0.0,0.0,1,1,4493,4
50673,4,3.0,12,4755.0,30,0.0,0.0,1,1,3382,4
50701,4,3.0,9,4751.0,30,0.0,0.0,1,1,1927,4
50766,4,3.0,12,4747.0,31,0.0,0.0,1,1,4303,4
50788,4,3.0,10,4744.0,31,0.0,0.0,1,1,5036,4
50797,4,2.5,9,4743.0,31,0.0,0.0,1,1,3013,4
50830,4,2.5,12,4739.0,31,0.0,0.0,1,1,3963,4
50918,4,2.5,12,4728.0,31,0.0,0.0,1,1,3543,4
51098,4,3.0,10,4708.0,31,0.0,0.0,1,1,3715,4
51140,4,3.0,10,4701.0,31,0.0,0.0,1,1,2719,4
51170,4,2.0,12,4700.0,30,0.0,0.0,1,1,3629,4
51173,4,3.0,10,4700.0,31,0.0,0.0,1,1,5105,4
51188,4,3.0,12,4698.0,30,0.0,0.0,1,1,3515,4
51259,4,2.0,9,4688.0,31,0.0,0.0,1,1,3201,4
51369,4,3.0,10,4675.0,31,0.0,0.0,1,1,3529,4
51396,4,3.0,9,4672.0,30,0.0,0.0,1,1,1927,4
51446,4,3.0,8,4665.0,30,0.0,0.0,1,1,4529,4
51461,4,2.5,12,4662.0,30,0.0,0.0,1,1,2537,4
51483,4,3.0,10,4660.0,31,0.0,0.0,1,1,1678,4
51526,4,2.0,8,4654.0,31,0.0,0.0,1,1,3048,4
51613,4,3.0,12,4650.0,31,0.0,0.0,1,1,4105,4
51661,4,3.0,11,4644.0,31,0.0,0.0,1,1,3954,4
51792,4,2.0,10,4627.0,31,0.0,0.0,1,1,3103,4
52090,4,3.0,10,4592.0,31,0.0,0.0,1,1,2606,4
52160,4,2.0,12,4584.0,30,0.0,0.0,1,1,4656,4
52252,4,2.0,9,4573.0,30,0.0,0.0,1,1,2204,4
52272,4,2.5,12,4570.0,31,0.0,0.0,1,1,2537,4
52287,4,2.5,12,4568.0,31,0.0,0.0,1,1,2537,4
52291,4,3.0,12,4567.0,30,0.0,0.0,1,1,3382,4
52292,4,3.0,12,4567.0,30,0.0,0.0,1,1,3568,4
52302,4,3.0,10,4565.0,30,0.0,0.0,1,1,1678,4
52370,4,3.0,10,4553.0,30,0.0,0.0,1,1,4958,4
52466,4,3.0,10,4543.0,31,0.0,0.0,1,1,2719,4
52476,4,2.0,10,4542.0,31,0.0,0.0,1,1,3071,4
52541,4,2.0,12,4534.0,31,0.0,0.0,1,1,2999,4
52542,4,3.0,8,4534.0,31,0.0,0.0,1,1,3096,4
52583,4,2.0,8,4529.0,30,0.0,0.0,1,1,3408,4
52606,4,2.5,11,4526.0,30,0.0,0.0,1,1,4896,4
52647,4,3.0,10,4523.0,31,0.0,0.0,1,1,5266,4
52672,4,2.0,10,4518.0,31,0.0,0.0,1,1,3071,4
52708,4,3.0,10,4514.0,31,0.0,0.0,1,1,3681,4
52746,4,2.5,12,4508.0,30,0.0,0.0,1,1,4318,4
52767,4,3.0,10,4506.0,31,0.0,0.0,1,1,3054,4
52848,4,2.0,10,4500.0,29,0.0,0.0,1,1,1721,4
52977,4,2.5,12,4493.0,31,0.0,0.0,1,1,4738,4
52991,4,2.5,12,4491.0,31,0.0,0.0,1,1,4318,4
53072,4,2.0,8,4481.0,30,0.0,0.0,1,1,3106,4
53086,4,3.0,10,4480.0,31,0.0,0.0,1,1,5252,4
53147,4,3.0,8,4474.0,30,0.0,0.0,1,1,4628,4
53148,4,3.0,10,4473.0,30,0.0,0.0,1,1,2719,4
53190,4,3.0,8,4467.0,31,0.0,0.0,1,1,3096,4
53314,4,3.0,10,4450.0,31,0.0,0.0,1,1,2083,4
53412,4,2.0,9,4438.0,31,0.0,0.0,1,1,3201,4
